               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.02483,            0.021803,           0.0098149,             0.76557,             0.65599,             0.73825,             0.53144,            0.018922,            0.010703,           0.0073833,           0.0033283,           0.0033283,            0.070045
                   1,             0.02594,            0.021898,            0.010488,             0.75358,             0.62471,             0.70388,             0.47896,            0.020829,            0.011238,           0.0078253,           0.0066452,           0.0066452,            0.040029
                   2,            0.027706,            0.022451,            0.011083,             0.70207,             0.60207,             0.64561,              0.4217,             0.02214,            0.011434,            0.010481,           0.0098967,           0.0098967,           0.0099467
                   3,            0.029987,            0.023707,            0.013671,             0.61608,             0.53963,             0.56008,             0.35705,            0.023069,            0.012116,           0.0099088,           0.0097798,           0.0097798,           0.0097798
                   4,            0.030543,            0.024606,            0.014894,             0.62095,             0.57677,              0.6101,              0.3783,            0.023865,            0.012063,           0.0089186,           0.0097798,           0.0097798,           0.0097798
                   5,            0.031142,            0.025092,            0.014538,             0.58268,             0.53741,             0.56376,             0.35562,            0.023572,            0.012551,            0.010737,            0.009611,            0.009611,            0.009611
                   6,            0.030214,             0.02484,            0.015061,             0.67875,             0.58117,             0.61547,             0.40316,            0.022663,            0.011857,           0.0099135,           0.0093971,           0.0093971,           0.0093971
                   7,            0.030087,            0.024276,            0.014104,             0.67855,             0.59899,             0.63779,             0.41291,            0.023092,            0.012037,           0.0094073,           0.0091406,           0.0091406,           0.0091406
                   8,            0.030144,            0.023955,            0.014478,             0.68103,             0.58959,             0.63327,             0.42357,            0.023895,            0.011787,           0.0088733,           0.0088442,           0.0088442,           0.0088442
                   9,            0.029046,            0.023483,            0.014181,             0.70637,             0.58953,             0.63978,             0.43015,            0.021675,            0.011678,           0.0084852,           0.0085111,           0.0085111,           0.0085111
                  10,            0.029135,            0.023607,            0.013493,             0.74009,             0.60262,             0.66308,              0.4468,            0.021901,            0.011832,           0.0094022,            0.008145,            0.008145,            0.008145
                  11,              0.0286,            0.023788,            0.012547,             0.70279,             0.55568,             0.64097,             0.43557,            0.021834,            0.012295,           0.0087171,             0.00775,             0.00775,             0.00775
                  12,            0.028215,            0.023331,            0.012103,             0.68232,             0.64967,              0.6817,             0.46885,            0.021471,            0.011427,            0.009101,           0.0073303,           0.0073303,           0.0073303
                  13,            0.026716,            0.022824,            0.011283,             0.72193,             0.62748,             0.68321,             0.48161,            0.020522,            0.011256,            0.010207,           0.0068906,           0.0068906,           0.0068906
                  14,            0.027171,            0.023086,            0.011428,             0.72106,             0.60333,             0.67165,             0.47792,            0.020755,            0.011749,           0.0090263,           0.0064356,           0.0064356,           0.0064356
                  15,            0.027502,            0.022777,            0.011693,             0.73436,             0.62135,             0.68226,             0.48283,             0.02041,            0.011388,           0.0086806,           0.0059704,           0.0059704,           0.0059704
                  16,            0.027101,            0.022571,            0.010692,             0.69787,             0.65243,             0.68635,             0.47237,            0.020322,            0.011489,           0.0082907,              0.0055,              0.0055,              0.0055
                  17,            0.026441,            0.022422,            0.010543,             0.74074,             0.65772,             0.71373,             0.50501,            0.019565,            0.011052,           0.0083433,           0.0050296,           0.0050296,           0.0050296
                  18,            0.026468,             0.02231,            0.010702,             0.69127,             0.62154,             0.67292,             0.48445,            0.020199,            0.011499,           0.0088509,           0.0045644,           0.0045644,           0.0045644
                  19,            0.025667,            0.021873,            0.010316,             0.76002,             0.64991,             0.72276,             0.51513,            0.019376,            0.010991,           0.0079478,           0.0041094,           0.0041094,           0.0041094
                  20,            0.025608,            0.022131,           0.0099482,             0.73816,             0.66754,             0.73288,             0.52943,            0.019064,            0.011049,           0.0057978,           0.0036697,           0.0036697,           0.0036697
                  21,            0.024772,            0.021193,            0.009807,             0.77167,             0.65222,             0.72263,             0.53085,            0.019558,            0.011101,           0.0084069,             0.00325,             0.00325,             0.00325
                  22,            0.024628,            0.021551,           0.0092797,             0.71758,             0.69202,             0.72878,             0.53347,            0.018804,            0.010786,            0.006752,            0.002855,            0.002855,            0.002855
                  23,            0.023707,            0.020528,            0.008569,             0.76494,             0.69001,              0.7515,             0.54573,            0.018596,             0.01068,           0.0061475,           0.0024889,           0.0024889,           0.0024889
                  24,            0.023776,            0.020726,           0.0091585,             0.77121,              0.6927,             0.75369,             0.55724,            0.018253,            0.010513,           0.0071712,           0.0021558,           0.0021558,           0.0021558
                  25,            0.023265,            0.020561,           0.0084413,             0.78243,             0.68614,             0.75222,               0.554,            0.018347,            0.010532,           0.0061451,           0.0018594,           0.0018594,           0.0018594
                  26,             0.02393,            0.020382,           0.0078477,              0.7705,             0.67945,             0.75537,             0.55415,            0.018214,            0.010529,           0.0060388,           0.0016029,           0.0016029,           0.0016029
                  27,            0.023761,            0.021209,           0.0075918,             0.73544,              0.7229,             0.75747,             0.55854,            0.018146,            0.010504,             0.00618,            0.001389,            0.001389,            0.001389
                  28,            0.023035,            0.020381,            0.007409,             0.79514,              0.6898,             0.76201,             0.56802,            0.017942,            0.010455,           0.0058834,           0.0012202,           0.0012202,           0.0012202
                  29,            0.022779,            0.020059,           0.0075326,             0.74801,             0.72329,             0.75973,             0.56873,            0.017801,            0.010383,           0.0062063,           0.0010983,           0.0010983,           0.0010983
